NAME,SAMPLE_ID,PLATE_ID,CAS,ATG_ID
Trimethoxypropylsilane,TX002391,TP0000718,1067-25-0,AT000001
"2,5,7,10-Tetraoxa-6-silaundecane, 6-ethenyl-6-(2-methoxyethoxy)-",TX008723,TP0000722,1067-53-4,AT000002
Hexamethyldisiloxane,TX009541,TP0000717,107-46-0,AT000003
Octamethyltrisiloxane,TX005946,TP0000720,107-51-7,AT000004
Dimethoxydimethylsilane,TX002285,TP0000722,1112-39-6,AT000005
Butyltin trichloride,TX002307,TP0000714,1118-46-3,AT000006
"Manganese, tricarbonyl[(1,2,3,4,5-.eta.)-1-methyl-2,4-cyclopentadien-1-yl]-",TX007686,TP0000719,12108-13-3,AT000007
Maneb,TV000194,Phase_1,12427-38-2,AT000008
Zinc pyrithione,TX009749,TP0000723,13463-41-7,AT000009
Ziram,TX007272,TP0000410,137-30-4,AT000010
Tributyltin chloride,TX008753,TP0000410,1461-22-9,AT000011
Tetrabutyltin,TX008776,TP0000720,1461-25-2,AT000012
Ethylenediaminetetraacetic acid ferric sodium salt,TX006965,TP0000719,15708-41-5,AT000013
N-[3-(Trimethoxysilyl)propyl]ethane-12-diamine,TX008725,TP0000721,1760-24-3,AT000014
"1,1,1,3,5,5,5-Heptamethyltrisiloxane",TX002303,TP0000721,1873-88-7,AT000015
Triethoxymethylsilane,TX002399,TP0000723,2031-67-6,AT000016
Tributyltin methacrylate,TX005440,TP0000422,2155-70-6,AT000017
1-[3-(Triethoxysilyl)propyl]urea,TX005944,TP0000422,23779-32-0,AT000018
"Cyclotetrasiloxane, 2,4,6,8-tetraethenyl-2,4,6,8-tetramethyl-",TX004333,TP0000715,2554-06-5,AT000019
"1,3-Divinyl-1,1,3,3-tetramethyl disiloxane",TX005326,TP0000720,2627-95-4,AT000020
Silwet L77,TX005468,TP0000719,27306-78-1,AT000021
Triethoxypentylsilane,TX005970,TP0000720,2761-24-2,AT000022
Triethoxyoctylsilane,TX009174,TP0000795,2943-75-1,AT000023
Triethoxyoctylsilane,TX009174,TP0000714,2943-75-1,AT000024
Triethoxyoctylsilane,TX109174,TP0000718,2943-75-1,AT000025
Triethoxyoctylsilane,TX209174,TP0000723,2943-75-1,AT000026
Trimethoxyphenylsilane,TX002411,TP0000717,2996-92-1,AT000027
Titanium(4+) 2-[bis(2-hydroxyethyl)amino]ethanolate propan-2-olate (1:2:2),TX005542,TP0000795,36673-16-2,AT000028
Tributyltin benzoate,TX012231,TP0000718,4342-36-3,AT000029
Decamethylcyclopentasiloxane,TX008989,TP0000714,541-02-6,AT000030
Octamethylcyclotetrasiloxane,TX009000,TP0000422,556-67-2,AT000031
Diphenylmercury(II),TX002663,TP0000717,587-85-9,AT000032
Phenylmercuric acetate,TX009869,TP0000422,62-38-4,AT000033
Tetrapropyl orthosilicate,TX003886,TP0000724,682-01-9,AT000034
Dibutyltin dichloride,TX007256,TP0000714,683-18-1,AT000035
NN-Didecyl-N-methyl-3-(trimethoxysilyl)propanaminium chloride,TX009861,TP0000722,68959-20-6,AT000036
Dimethyltin dichloride,TX007280,TP0000714,753-73-1,AT000037
Cacodylic acid,TV000155,Phase_1,75-60-5,AT000038
Triphenyltin hydroxide,TV000018,Phase_1,76-87-9,AT000039
Ethyltriethoxysilane,TX003157,TP0000714,78-07-9,AT000040
Mancozeb,TX309150,TP0000422,8018-01-7,AT000041
Mancozeb,TX409150,TP0000434,8018-01-7,AT000042
Mancozeb,TX509150,TP0000434,8018-01-7,AT000043
Mancozeb,TV000367,Phase_1,8018-01-7,AT000044
Flusilazole,TV000127,Phase_1,85509-19-9,AT000045
Metiram-zinc,TV000376,Phase_1,9006-42-2,AT000046
Polydimethylsiloxane,TX011634,TP0000719,9016-00-6,AT000047
3-Aminopropyltriethoxysilane,TX009280,TP0000724,919-30-2,AT000048
Triphenylborane,TX009284,TP0000715,960-71-4,AT000049
Hexamethyldisilazane,TX001631,TP0000715,999-97-3,AT000050
Cremophor(R) EL,TX011337,TP0000720,61791-12-6,AT000051
Clove leaf oil,TX011345,TP0000795,8000-34-8,AT000052
Clove leaf oil,TX011345,TP0000719,8000-34-8,AT000053
Peppermint oil,TX010405,TP0000717,8006-90-4,AT000054
Anise oil,TX011397,TP0000716,8007-70-3,AT000055
Dysprosium(III) chloride,TX002857,TP0000717,10025-74-8,AT000056
Boric acid,TV000353,Phase_1,10043-35-3,AT000057
Indium arsenide,TX008357,TP0000410,1303-11-3,AT000058
Sodium tetrafluoroborate,TX012520,TP0000714,13755-29-8,AT000059
Sodium hexafluorosilicate,TX008818,TP0000717,16893-85-9,AT000060
Sodium azide,TX001745,TP0000308,26628-22-8,AT000061
Potassium chlorate,TX006686,TP0000719,3811-04-9,AT000062
Sulfamic acid,TX007180,TP0000723,5329-14-6,AT000063
